"simulation","mean_words_per_extracted_text_block"
1,354.666666666667
2,280.972222222222
3,288.805555555556
4,338.25
5,284.694444444444
6,355.166666666667
7,362.666666666667
8,314.444444444444
9,264.611111111111
10,259.472222222222
11,362.916666666667
12,290.277777777778
13,232.083333333333
14,388.638888888889
15,328.972222222222
16,310.75
17,250.25
18,340.805555555556
19,313.583333333333
20,231.361111111111
21,322.972222222222
22,255.638888888889
23,232.388888888889
24,245.5
25,268.75
26,225.833333333333
27,271.555555555556
28,279.138888888889
29,263.194444444444
30,321.194444444444
31,274.555555555556
32,305.027777777778
33,358.694444444444
34,344.055555555556
35,352.888888888889
36,345.527777777778
37,279.305555555556
38,326.805555555556
39,286.5
40,333.194444444444
41,272.361111111111
42,362.25
43,329.361111111111
44,283.444444444444
45,254.25
46,297.861111111111
47,305.833333333333
48,255.611111111111
49,227.25
50,321.833333333333
51,380.666666666667
52,333.361111111111
53,264.527777777778
54,338.416666666667
55,317.222222222222
56,301.111111111111
57,274.944444444444
58,298.75
59,378.305555555556
60,309.583333333333
61,269.333333333333
62,359.583333333333
63,367.055555555556
64,277.916666666667
65,276.194444444444
66,310
67,281
68,303.277777777778
69,299.25
70,349.916666666667
71,250.972222222222
72,263.833333333333
73,298.944444444444
74,267.583333333333
75,300.111111111111
76,303.027777777778
77,356.138888888889
78,287.527777777778
79,297.305555555556
80,327.888888888889
81,324.916666666667
82,370.888888888889
83,282.583333333333
84,255.75
85,307.5
86,286.5
87,267.222222222222
88,303.138888888889
89,317.5
90,281.194444444444
91,251.611111111111
92,331.222222222222
93,339.277777777778
94,266.083333333333
95,210.527777777778
96,355.138888888889
97,330.222222222222
98,276.666666666667
99,322.638888888889
100,222.972222222222
101,329.472222222222
102,255.555555555556
103,302.138888888889
104,352.277777777778
105,309.916666666667
106,316.805555555556
107,306.333333333333
108,283.416666666667
109,374.388888888889
110,353.555555555556
111,328.138888888889
112,316.833333333333
113,288.527777777778
114,325.166666666667
115,360.472222222222
116,328.611111111111
117,300.694444444444
118,301.055555555556
119,320.277777777778
120,348.611111111111
121,250.25
122,256.5
123,296.722222222222
124,306.638888888889
125,260.055555555556
126,215.361111111111
127,253.305555555556
128,383.166666666667
129,291.861111111111
130,331.194444444444
131,293.861111111111
132,369.638888888889
133,286.75
134,339.666666666667
135,314.361111111111
136,279.416666666667
137,355.472222222222
138,335.944444444444
139,317.722222222222
140,283.388888888889
141,342.638888888889
142,299.166666666667
143,278.388888888889
144,309.555555555556
145,377.388888888889
146,300.416666666667
147,289.194444444444
148,293.722222222222
149,303.055555555556
150,344.722222222222
151,287.055555555556
152,305.277777777778
153,254.416666666667
154,297.277777777778
155,338.222222222222
156,303.277777777778
157,324.972222222222
158,356.5
159,262.611111111111
160,291.666666666667
161,340.138888888889
162,266.333333333333
163,331.388888888889
164,270.722222222222
165,303.194444444444
166,330.694444444444
167,276.277777777778
168,294.194444444444
169,353.944444444444
170,335.194444444444
171,311.583333333333
172,226.722222222222
173,319.305555555556
174,297.5
175,375.611111111111
176,352.944444444444
177,343.361111111111
178,326.861111111111
179,269.472222222222
180,299.333333333333
181,234.944444444444
182,236.5
183,272.666666666667
184,291.333333333333
185,286.972222222222
186,291.888888888889
187,308.638888888889
188,310.527777777778
189,333.444444444444
190,304.805555555556
191,309.111111111111
192,306.222222222222
193,287.694444444444
194,260.472222222222
195,315.777777777778
196,346.916666666667
197,324.833333333333
198,322.25
199,292.444444444444
200,307.166666666667
201,304.166666666667
202,263.083333333333
203,353.138888888889
204,272.694444444444
205,285.75
206,280.083333333333
207,302.611111111111
208,414.277777777778
209,367.611111111111
210,282.638888888889
211,349.027777777778
212,313.888888888889
213,281.444444444444
214,256.444444444444
215,233.472222222222
216,325.916666666667
217,365.555555555556
218,284.916666666667
219,360.472222222222
220,202.694444444444
221,306.416666666667
222,273.222222222222
223,298.25
224,293.083333333333
225,294.555555555556
226,289.5
227,244.472222222222
228,292.083333333333
229,277.194444444444
230,339.805555555556
231,297.777777777778
232,293.666666666667
233,299.916666666667
234,284.666666666667
235,268.722222222222
236,297.416666666667
237,284.944444444444
238,265.861111111111
239,338.916666666667
240,244.361111111111
241,322.833333333333
242,291.833333333333
243,275.666666666667
244,247.138888888889
245,312.222222222222
246,263.666666666667
247,234.583333333333
248,330.083333333333
249,315
250,367.777777777778
251,267.555555555556
252,261.611111111111
253,340.083333333333
254,353.583333333333
255,390.972222222222
256,323.861111111111
257,239.916666666667
258,308.583333333333
259,348.083333333333
260,267.944444444444
261,322.444444444444
262,301.111111111111
263,320.194444444444
264,358.25
265,330.027777777778
266,312.638888888889
267,351.833333333333
268,360.416666666667
269,283.5
270,324.277777777778
271,348.916666666667
272,304.75
273,336.916666666667
274,290.472222222222
275,284.861111111111
276,327.638888888889
277,340.916666666667
278,368.722222222222
279,326.111111111111
280,315.333333333333
281,276.722222222222
282,290.888888888889
283,314.027777777778
284,320.888888888889
285,311.333333333333
286,325.25
287,326.361111111111
288,310.361111111111
289,330.638888888889
290,330.666666666667
291,294.027777777778
292,329.194444444444
293,277.222222222222
294,330.361111111111
295,335.222222222222
296,268.722222222222
297,363
298,286.25
299,380.111111111111
300,245.333333333333
301,281.75
302,264.5
303,198.833333333333
304,312
305,353.222222222222
306,312.277777777778
307,361.333333333333
308,259.222222222222
309,265.472222222222
310,272.916666666667
311,330.472222222222
312,244.472222222222
313,207.944444444444
314,304.305555555556
315,349.694444444444
316,320.555555555556
317,307.5
318,332.861111111111
319,293.388888888889
320,276.083333333333
321,301.722222222222
322,315.583333333333
323,286.666666666667
324,300.666666666667
325,267.194444444444
326,325.722222222222
327,240.222222222222
328,354.5
329,309.138888888889
330,295.638888888889
331,345.583333333333
332,323.416666666667
333,305.361111111111
334,263.138888888889
335,324.583333333333
336,274.194444444444
337,336
338,350.333333333333
339,351.972222222222
340,261.25
341,315.055555555556
342,290.055555555556
343,280.944444444444
344,344.166666666667
345,276.194444444444
346,342.833333333333
347,245.722222222222
348,266.138888888889
349,288.333333333333
350,239.888888888889
351,308.833333333333
